,id,season,stage,date,match_api_id,home_team_goal,away_team_goal,home_team,away_team,league
100,101,2008/2009,2,2008-08-23,492483,2,2,RSC Anderlecht,KAA Gent,Belgium Jupiler League
101,102,2008/2009,2,2008-08-23,492484,3,0,Standard de Liège,KVC Westerlo,Belgium Jupiler League
102,103,2008/2009,2,2008-08-24,492485,3,1,RAEC Mons,KRC Genk,Belgium Jupiler League
103,104,2008/2009,2,2008-08-23,492486,1,0,Sporting Charleroi,KSV Roeselare,Belgium Jupiler League
104,105,2008/2009,2,2008-08-23,492487,4,1,Sporting Lokeren,Tubize,Belgium Jupiler League
105,106,2008/2009,2,2008-08-23,492488,3,1,Royal Excel Mouscron,KV Mechelen,Belgium Jupiler League
106,107,2008/2009,2,2008-08-23,492489,2,1,KV Kortrijk,KSV Cercle Brugge,Belgium Jupiler League
107,108,2008/2009,2,2008-08-23,492490,1,1,Beerschot AC,FCV Dender EH,Belgium Jupiler League
108,109,2008/2009,20,2009-01-31,492822,1,3,KV Kortrijk,RSC Anderlecht,Belgium Jupiler League
109,110,2008/2009,20,2009-02-01,492844,1,2,Sporting Lokeren,KRC Genk,Belgium Jupiler League
110,111,2008/2009,20,2009-01-31,492845,1,1,RAEC Mons,KSV Cercle Brugge,Belgium Jupiler League
111,112,2008/2009,20,2009-02-01,492847,2,5,Sporting Charleroi,KAA Gent,Belgium Jupiler League
112,113,2008/2009,20,2009-01-31,492849,0,2,Royal Excel Mouscron,FCV Dender EH,Belgium Jupiler League
113,114,2008/2009,20,2009-01-31,492851,1,1,SV Zulte-Waregem,KV Mechelen,Belgium Jupiler League
114,115,2008/2009,20,2009-01-31,492853,3,0,Standard de Liège,KSV Roeselare,Belgium Jupiler League
115,116,2008/2009,20,2009-01-31,492856,3,1,Club Brugge KV,Tubize,Belgium Jupiler League
116,117,2008/2009,20,2009-01-31,492858,2,1,Beerschot AC,KVC Westerlo,Belgium Jupiler League
117,118,2008/2009,21,2009-02-07,492989,0,2,FCV Dender EH,Club Brugge KV,Belgium Jupiler League
118,119,2008/2009,21,2009-02-06,492990,0,2,KV Kortrijk,Standard de Liège,Belgium Jupiler League
119,120,2008/2009,21,2009-02-07,492991,3,2,RSC Anderlecht,RAEC Mons,Belgium Jupiler League
120,121,2008/2009,21,2009-02-07,492992,1,2,KRC Genk,SV Zulte-Waregem,Belgium Jupiler League
121,122,2008/2009,21,2009-02-08,492993,2,2,KSV Cercle Brugge,Sporting Charleroi,Belgium Jupiler League
122,123,2008/2009,21,2009-02-08,492994,1,0,KVC Westerlo,Sporting Lokeren,Belgium Jupiler League
123,124,2008/2009,21,2009-02-07,492995,1,5,Tubize,KV Mechelen,Belgium Jupiler League
124,125,2008/2009,21,2009-02-07,492996,2,0,KAA Gent,Royal Excel Mouscron,Belgium Jupiler League
125,126,2008/2009,21,2009-02-07,492997,2,2,KSV Roeselare,Beerschot AC,Belgium Jupiler League
126,127,2008/2009,22,2009-02-15,492998,0,1,Sporting Charleroi,RSC Anderlecht,Belgium Jupiler League
127,128,2008/2009,22,2009-02-15,492999,0,2,Club Brugge KV,KRC Genk,Belgium Jupiler League
128,129,2008/2009,22,2009-02-14,493000,1,1,Beerschot AC,KSV Cercle Brugge,Belgium Jupiler League
129,130,2008/2009,22,2009-02-14,493001,3,3,KV Mechelen,KAA Gent,Belgium Jupiler League
130,131,2008/2009,22,2009-02-14,493002,1,0,SV Zulte-Waregem,FCV Dender EH,Belgium Jupiler League
131,132,2008/2009,22,2009-02-14,493003,2,1,Sporting Lokeren,KSV Roeselare,Belgium Jupiler League
132,133,2008/2009,22,2009-02-14,493004,1,1,RAEC Mons,KV Kortrijk,Belgium Jupiler League
133,134,2008/2009,22,2009-02-14,493005,4,0,Standard de Liège,Tubize,Belgium Jupiler League
134,135,2008/2009,22,2009-02-14,493006,0,0,Royal Excel Mouscron,KVC Westerlo,Belgium Jupiler League
135,136,2008/2009,23,2009-02-22,493007,1,1,KVC Westerlo,Club Brugge KV,Belgium Jupiler League
136,137,2008/2009,23,2009-02-22,493008,4,2,RSC Anderlecht,Standard de Liège,Belgium Jupiler League
137,138,2008/2009,23,2009-02-21,493009,3,2,KSV Roeselare,RAEC Mons,Belgium Jupiler League
138,139,2008/2009,23,2009-02-21,493010,0,6,Tubize,SV Zulte-Waregem,Belgium Jupiler League
139,140,2008/2009,23,2009-02-21,493011,1,1,KV Kortrijk,Sporting Charleroi,Belgium Jupiler League
140,141,2008/2009,23,2009-02-21,493012,0,0,KSV Cercle Brugge,Sporting Lokeren,Belgium Jupiler League
141,142,2008/2009,23,2009-02-21,493013,1,2,FCV Dender EH,KV Mechelen,Belgium Jupiler League
142,143,2008/2009,23,2009-02-20,493014,1,1,KRC Genk,Royal Excel Mouscron,Belgium Jupiler League
143,144,2008/2009,23,2009-02-21,493015,1,3,KAA Gent,Beerschot AC,Belgium Jupiler League
144,145,2008/2009,24,2009-02-28,493016,1,1,Royal Excel Mouscron,RSC Anderlecht,Belgium Jupiler League
145,146,2008/2009,24,2009-02-27,493017,2,1,KV Mechelen,KRC Genk,Belgium Jupiler League
146,147,2008/2009,24,2009-02-28,493018,3,0,Sporting Charleroi,RAEC Mons,Belgium Jupiler League
147,148,2008/2009,24,2009-03-01,493019,4,0,Standard de Liège,KSV Cercle Brugge,Belgium Jupiler League
148,149,2008/2009,24,2009-03-01,493020,0,1,Sporting Lokeren,KAA Gent,Belgium Jupiler League
149,150,2008/2009,24,2009-02-28,493021,2,1,Club Brugge KV,KSV Roeselare,Belgium Jupiler League
150,151,2008/2009,24,2009-02-28,493022,3,0,Beerschot AC,KV Kortrijk,Belgium Jupiler League
151,152,2008/2009,24,2009-02-28,493023,4,0,FCV Dender EH,Tubize,Belgium Jupiler League
152,153,2008/2009,24,2009-02-28,493024,1,1,SV Zulte-Waregem,KVC Westerlo,Belgium Jupiler League
153,154,2008/2009,25,2009-03-08,493025,1,3,KSV Cercle Brugge,Club Brugge KV,Belgium Jupiler League
154,155,2008/2009,25,2009-03-06,493026,0,1,RAEC Mons,Standard de Liège,Belgium Jupiler League
155,156,2008/2009,25,2009-03-07,493027,2,0,RSC Anderlecht,SV Zulte-Waregem,Belgium Jupiler League
156,157,2008/2009,25,2009-03-07,493028,2,3,KV Kortrijk,Sporting Lokeren,Belgium Jupiler League
157,158,2008/2009,25,2009-03-07,493029,4,3,KRC Genk,FCV Dender EH,Belgium Jupiler League
158,159,2008/2009,25,2009-03-08,493030,0,1,KVC Westerlo,KV Mechelen,Belgium Jupiler League
159,160,2008/2009,25,2009-03-07,493031,2,0,KSV Roeselare,Royal Excel Mouscron,Belgium Jupiler League
160,161,2008/2009,25,2009-03-07,493032,2,0,KAA Gent,Tubize,Belgium Jupiler League
161,162,2008/2009,25,2009-03-07,493033,0,0,Sporting Charleroi,Beerschot AC,Belgium Jupiler League
162,163,2008/2009,26,2009-03-13,493034,2,1,KV Mechelen,RSC Anderlecht,Belgium Jupiler League
163,164,2008/2009,26,2009-03-15,493035,2,0,Standard de Liège,KRC Genk,Belgium Jupiler League
164,165,2008/2009,26,2009-03-14,493036,2,0,Beerschot AC,RAEC Mons,Belgium Jupiler League
165,166,2008/2009,26,2009-03-14,493037,0,0,Sporting Lokeren,Sporting Charleroi,Belgium Jupiler League
166,167,2008/2009,26,2009-03-14,493038,1,0,FCV Dender EH,KSV Cercle Brugge,Belgium Jupiler League
167,168,2008/2009,26,2009-03-15,493039,1,4,Club Brugge KV,KAA Gent,Belgium Jupiler League
168,169,2008/2009,26,2009-03-14,493040,0,0,SV Zulte-Waregem,KSV Roeselare,Belgium Jupiler League
169,170,2008/2009,26,2009-03-14,493041,1,0,Royal Excel Mouscron,KV Kortrijk,Belgium Jupiler League
170,171,2008/2009,26,2009-03-14,493042,1,2,Tubize,KVC Westerlo,Belgium Jupiler League
171,172,2008/2009,27,2009-03-20,493043,2,3,KV Kortrijk,Club Brugge KV,Belgium Jupiler League
172,173,2008/2009,27,2009-03-22,493044,1,0,Sporting Charleroi,Standard de Liège,Belgium Jupiler League
173,174,2008/2009,27,2009-03-22,493045,1,0,KAA Gent,SV Zulte-Waregem,Belgium Jupiler League
174,175,2008/2009,27,2009-03-21,493046,0,2,RAEC Mons,Sporting Lokeren,Belgium Jupiler League
175,176,2008/2009,27,2009-03-21,493047,3,1,KVC Westerlo,FCV Dender EH,Belgium Jupiler League
176,177,2008/2009,27,2009-03-21,493048,1,0,KSV Roeselare,KV Mechelen,Belgium Jupiler League
177,178,2008/2009,27,2009-03-21,493049,0,1,KSV Cercle Brugge,Royal Excel Mouscron,Belgium Jupiler League
178,179,2008/2009,27,2009-03-21,493050,3,0,KRC Genk,Tubize,Belgium Jupiler League
179,180,2008/2009,27,2009-03-21,493051,2,0,RSC Anderlecht,Beerschot AC,Belgium Jupiler League
180,181,2008/2009,28,2009-04-05,493052,0,0,Sporting Lokeren,RSC Anderlecht,Belgium Jupiler League
181,182,2008/2009,28,2009-04-04,493053,3,2,Royal Excel Mouscron,RAEC Mons,Belgium Jupiler League
182,183,2008/2009,28,2009-04-04,493054,2,1,Club Brugge KV,Sporting Charleroi,Belgium Jupiler League
183,184,2008/2009,28,2009-04-04,493055,3,1,SV Zulte-Waregem,KSV Cercle Brugge,Belgium Jupiler League
184,185,2008/2009,28,2009-04-04,493056,1,1,FCV Dender EH,KAA Gent,Belgium Jupiler League
185,186,2008/2009,28,2009-04-04,493057,0,1,Tubize,KSV Roeselare,Belgium Jupiler League
186,187,2008/2009,28,2009-04-04,493058,1,1,KV Mechelen,KV Kortrijk,Belgium Jupiler League
187,188,2008/2009,28,2009-04-04,493059,1,4,KRC Genk,KVC Westerlo,Belgium Jupiler League
188,189,2008/2009,28,2009-04-05,493060,3,1,Standard de Liège,Beerschot AC,Belgium Jupiler League
189,190,2008/2009,29,2009-04-12,493061,1,0,RSC Anderlecht,Club Brugge KV,Belgium Jupiler League
190,191,2008/2009,29,2009-04-10,493062,1,0,KSV Roeselare,KRC Genk,Belgium Jupiler League
191,192,2008/2009,29,2009-04-11,493063,1,2,Beerschot AC,SV Zulte-Waregem,Belgium Jupiler League
192,193,2008/2009,29,2009-04-11,493064,1,0,Standard de Liège,Sporting Lokeren,Belgium Jupiler League
193,194,2008/2009,29,2009-04-11,493065,1,2,KV Kortrijk,FCV Dender EH,Belgium Jupiler League
194,195,2008/2009,29,2009-04-11,493066,0,1,RAEC Mons,KV Mechelen,Belgium Jupiler League
195,196,2008/2009,29,2009-04-11,493067,1,0,Sporting Charleroi,Royal Excel Mouscron,Belgium Jupiler League
196,197,2008/2009,29,2009-04-11,493068,4,1,KSV Cercle Brugge,Tubize,Belgium Jupiler League
197,198,2008/2009,29,2009-04-12,493069,2,0,KAA Gent,KVC Westerlo,Belgium Jupiler League
198,199,2008/2009,3,2008-08-30,492491,4,0,RSC Anderlecht,KV Kortrijk,Belgium Jupiler League
199,200,2008/2009,3,2008-08-30,492492,1,0,KRC Genk,Sporting Lokeren,Belgium Jupiler League
200,201,2008/2009,3,2008-08-30,492493,2,1,KSV Cercle Brugge,RAEC Mons,Belgium Jupiler League
201,202,2008/2009,3,2008-08-31,492494,2,0,KAA Gent,Sporting Charleroi,Belgium Jupiler League
202,203,2008/2009,3,2008-08-30,492495,1,2,FCV Dender EH,Royal Excel Mouscron,Belgium Jupiler League
203,204,2008/2009,3,2008-08-30,492496,0,2,KV Mechelen,SV Zulte-Waregem,Belgium Jupiler League
204,205,2008/2009,3,2008-08-31,492497,1,1,KSV Roeselare,Standard de Liège,Belgium Jupiler League
205,206,2008/2009,3,2008-08-29,492498,1,4,Tubize,Club Brugge KV,Belgium Jupiler League
206,207,2008/2009,3,2008-08-30,492499,1,0,KVC Westerlo,Beerschot AC,Belgium Jupiler League
207,208,2008/2009,30,2009-04-19,493070,0,1,KVC Westerlo,RSC Anderlecht,Belgium Jupiler League
208,209,2008/2009,30,2009-04-18,493071,0,3,Royal Excel Mouscron,Standard de Liège,Belgium Jupiler League
209,210,2008/2009,30,2009-04-18,493072,3,2,Club Brugge KV,RAEC Mons,Belgium Jupiler League
210,211,2008/2009,30,2009-04-18,493073,3,1,Tubize,Sporting Charleroi,Belgium Jupiler League
211,212,2008/2009,30,2009-04-18,493074,0,1,KV Mechelen,KSV Cercle Brugge,Belgium Jupiler League
212,213,2008/2009,30,2009-04-17,493075,2,2,KRC Genk,KAA Gent,Belgium Jupiler League
213,214,2008/2009,30,2009-04-19,493076,3,1,FCV Dender EH,KSV Roeselare,Belgium Jupiler League
214,215,2008/2009,30,2009-04-18,493077,5,1,SV Zulte-Waregem,KV Kortrijk,Belgium Jupiler League
215,216,2008/2009,30,2009-04-18,493078,1,0,Sporting Lokeren,Beerschot AC,Belgium Jupiler League
216,217,2008/2009,31,2009-04-24,493079,2,0,Beerschot AC,Club Brugge KV,Belgium Jupiler League
217,218,2008/2009,31,2009-04-26,493080,1,2,KSV Cercle Brugge,KRC Genk,Belgium Jupiler League
218,219,2008/2009,31,2009-04-25,493081,1,0,Sporting Charleroi,SV Zulte-Waregem,Belgium Jupiler League
219,220,2008/2009,31,2009-04-26,493082,1,3,KSV Roeselare,KAA Gent,Belgium Jupiler League
220,221,2008/2009,31,2009-04-25,493083,4,0,RSC Anderlecht,FCV Dender EH,Belgium Jupiler League
221,222,2008/2009,31,2009-04-25,493084,4,1,Standard de Liège,KV Mechelen,Belgium Jupiler League
222,223,2008/2009,31,2009-04-25,493085,3,0,Sporting Lokeren,Royal Excel Mouscron,Belgium Jupiler League
223,224,2008/2009,31,2009-04-25,493086,2,2,KV Kortrijk,Tubize,Belgium Jupiler League
224,225,2008/2009,31,2009-04-25,493087,0,2,RAEC Mons,KVC Westerlo,Belgium Jupiler League
225,226,2008/2009,32,2009-05-03,493088,1,1,Tubize,RSC Anderlecht,Belgium Jupiler League
226,227,2008/2009,32,2009-05-02,493089,0,0,SV Zulte-Waregem,Standard de Liège,Belgium Jupiler League
227,228,2008/2009,32,2009-05-02,493090,0,0,FCV Dender EH,RAEC Mons,Belgium Jupiler League
228,229,2008/2009,32,2009-05-02,493091,2,1,KV Mechelen,Sporting Charleroi,Belgium Jupiler League
229,230,2008/2009,32,2009-05-02,493092,2,1,KAA Gent,KSV Cercle Brugge,Belgium Jupiler League
230,231,2008/2009,32,2009-05-01,493093,2,3,Club Brugge KV,Sporting Lokeren,Belgium Jupiler League
231,232,2008/2009,32,2009-05-02,493094,1,0,KVC Westerlo,KSV Roeselare,Belgium Jupiler League
232,233,2008/2009,32,2009-05-03,493095,0,1,KRC Genk,KV Kortrijk,Belgium Jupiler League
233,234,2008/2009,32,2009-05-02,493096,3,1,Royal Excel Mouscron,Beerschot AC,Belgium Jupiler League
234,235,2008/2009,33,2009-05-09,493097,2,0,Standard de Liège,Club Brugge KV,Belgium Jupiler League
235,236,2008/2009,33,2009-05-09,493098,3,0,Sporting Charleroi,KRC Genk,Belgium Jupiler League
236,237,2008/2009,33,2009-05-09,493099,0,2,Royal Excel Mouscron,SV Zulte-Waregem,Belgium Jupiler League
237,238,2008/2009,33,2009-05-09,493100,0,2,KV Kortrijk,KAA Gent,Belgium Jupiler League
238,239,2008/2009,33,2009-05-09,493101,0,2,Sporting Lokeren,FCV Dender EH,Belgium Jupiler League
239,240,2008/2009,33,2009-05-08,493102,3,1,Beerschot AC,KV Mechelen,Belgium Jupiler League
240,241,2008/2009,33,2009-05-09,493103,3,1,RSC Anderlecht,KSV Roeselare,Belgium Jupiler League
241,242,2008/2009,33,2009-05-09,493104,1,1,RAEC Mons,Tubize,Belgium Jupiler League
242,243,2008/2009,33,2009-05-09,493105,2,1,KSV Cercle Brugge,KVC Westerlo,Belgium Jupiler League
243,244,2008/2009,34,2009-05-16,493106,0,2,KRC Genk,RSC Anderlecht,Belgium Jupiler League
244,245,2008/2009,34,2009-05-16,493107,0,1,KAA Gent,Standard de Liège,Belgium Jupiler League
245,246,2008/2009,34,2009-05-16,493108,3,0,SV Zulte-Waregem,RAEC Mons,Belgium Jupiler League
246,247,2008/2009,34,2009-05-16,493109,1,2,FCV Dender EH,Sporting Charleroi,Belgium Jupiler League
247,248,2008/2009,34,2009-05-16,493110,1,2,KSV Roeselare,KSV Cercle Brugge,Belgium Jupiler League
248,249,2008/2009,34,2009-05-15,493111,3,0,KV Mechelen,Sporting Lokeren,Belgium Jupiler League
249,250,2008/2009,34,2009-05-16,493112,4,1,Club Brugge KV,Royal Excel Mouscron,Belgium Jupiler League
250,251,2008/2009,34,2009-05-16,493113,1,3,KVC Westerlo,KV Kortrijk,Belgium Jupiler League
251,252,2008/2009,34,2009-05-16,493114,1,0,Tubize,Beerschot AC,Belgium Jupiler League
252,253,2008/2009,4,2008-09-13,492500,1,1,Club Brugge KV,FCV Dender EH,Belgium Jupiler League
